ID,Name,Address,Phone,latitude,longitude,google_map
HOSP1,CPMC Mission Bernal Campus & Orthopedic Institute,"3555 Cesar Chavez St, San Francisco, CA 94110",415-600-6000,37.7477025,-122.4206672,https://goo.gl/maps/uJvC83MUAqBqfoaW6
HOSP2,UCSF Medical Center,"505 Parnassus Ave, San Francisco, CA 94143",415-476-1000,37.7663244,-122.4855959,https://goo.gl/maps/YUH3j7RSb3DbHje76
HOSP3,Zuckerberg San Francisco General Hospital and Trauma Center,"1001 Potrero Ave, San Francisco, CA 94110",628-206-8000,37.755354,-122.4079785,https://goo.gl/maps/KpwwrJeVRNT51z3S7
HOSP4,St. Mary’s Medical Center,"450 Stanyan St, San Francisco, Calif. 94117",415-668-1000,37.7532488,-122.4843216,https://goo.gl/maps/LxdXQyxda2DoMFYh6
